Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
C1,1,10µF,CP_Radial_D8.0mm_P2.50mm,,,,tht,Polarized capacitor
CN1,1,Saturn,DSUB-9_Socket_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,,,,tht,"9-pin D-SUB connector, socket (female), Mounting Hole"
RN1,1,10KΩ,R_Array_SIP9,,,,tht,"8 resistor network, star topology, bussed resistors, small symbol"
RN2,1,100KΩ,R_Array_SIP8,,,,tht,"7 resistor network, star topology, bussed resistors, small symbol"
SW1,1,RH CTRL,SW_Cherry_MX_PCB_1.75u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW10,1,PRINT SCREEN,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW11,1,SCROLL LOCK,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW12,1,PAUSE,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW13,1,? /,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW14,1,_ \,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW15,1,UP,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW16,1,LEFT,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW17,1,DOWN,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW18,1,RIGHT,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW19,1,PAGE DOWN,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW2,1,LH CTRL,SW_Cherry_MX_PCB_1.50u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW20,1,PAGE UP,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW21,1,> .,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW22,1,無変換,SW_Cherry_MX_PCB_1.50u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW23,1,カタカナ,SW_Cherry_MX_PCB_1.50u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW24,1,前候補,SW_Cherry_MX_PCB_1.50u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW25,1,SPACE,SW_Cherry_MX_PCB_2.25u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW26,1,Z,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW27,1,END,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW28,1,K,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW29,1,L,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW3,1,RH SHIFT,SW_Cherry_MX_PCB_2.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW30,1,+ ;,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW31,1,* :,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW32,1,} ],SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW33,1,ENTER,SW_Cherry_MX_PCB_ISOEnter,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW34,1,X,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW35,1,HOME,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW36,1,I,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW37,1,O,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW38,1,P,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW39,1,' @,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW4,1,LH SHIFT,SW_Cherry_MX_PCB_2.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW40,1,{ [,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW41,1,DELETE,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW42,1,A,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW43,1,INSERT,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW44,1,( 8,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW45,1,) 9,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW46,1,~ 0,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW47,1,= -,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW48,1,_ ^,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW49,1,| ¥,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW5,1,F8,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW50,1,S,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW51,1,BACKSPACE,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW52,1,"< ,",SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW53,1,M,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW54,1,N,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW55,1,B,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW56,1,V,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW57,1,C,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW58,1,J,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW59,1,H,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW6,1,F9,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW60,1,G,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW61,1,F,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW62,1,D,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW63,1,CAPS LOCK,SW_Cherry_MX_PCB_1.75u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW64,1,U,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW65,1,Y,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW66,1,T,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW67,1,R,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW68,1,W,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW69,1,TAB,SW_Cherry_MX_PCB_1.50u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW7,1,F10,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW70,1,E,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW71,1,半角/全角,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW72,1,' 7,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW73,1,& 6,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW74,1,% 5,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW75,1,$ 4,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW76,1,# 3,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW77,1,""" 2",SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW78,1,Q,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW79,1,! 1,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW8,1,F11,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW80,1,F7,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW81,1,F6,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW82,1,F5,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW83,1,F4,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW84,1,F3,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW85,1,F2,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW86,1,ESC,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW87,1,F1,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW88,1,RH ALT,SW_Cherry_MX_PCB_1.50u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW89,1,LH ALT,SW_Cherry_MX_PCB_1.50u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
SW9,1,F12,SW_Cherry_MX_PCB_1.00u,,,,tht,"Push button switch, normally open, two pins, 45° tilted"
U1,1,Teensy4.1,Teensy41,,,,tht,
